osmid,lat,lon,street_count
104448942,40.4390872,-80.0282561,4
104448955,40.4394786,-80.0281466,3
104448971,40.4403428,-80.0279335,1
104448976,40.4405875,-80.02691,3
104449084,40.480721,-80.0436281,1
104449098,40.4786516,-80.0435725,3
104449446,40.4711923,-79.9232048,4
104449459,40.4718822,-79.9227645,4
104449470,40.4726712,-79.9222765,3
104449491,40.4727363,-79.9205058,3
104449495,40.4721873,-79.9208131,3
104449509,40.4718001,-79.9210196,3
104449671,40.4522399,-79.9688858,3
104449752,40.4370704,-79.9723889,3
104450194,40.4143339,-79.920047,3
104450258,40.4135099,-79.9205544,3
104450525,40.4601304,-80.0017713,3
104450880,40.4440833,-80.0558408,4
104450927,40.4397916,-79.9730288,3
104452096,40.4614694,-79.9181727,1
104454075,40.4138275,-79.9456092,3
104454084,40.4140124,-79.9450216,3
104454268,40.415898,-79.9405435,3
104455688,40.4233416,-79.921827,1
104455945,40.401506,-80.0028821,4
104455955,40.4014133,-80.0039414,1
104456516,40.4793146,-79.9474348,1
104457394,40.4418831,-80.0368694,3
104457407,40.4417184,-80.0371509,1
104457679,40.4771029,-79.9135997,3
104457730,40.4768227,-79.9124457,3
104458386,40.4195758,-79.987615,4
104459057,40.448053,-80.0373607,3
104459146,40.4436906,-80.0326366,3
104460070,40.4250091,-80.0072525,2
104460081,40.4245277,-80.0072666,3
104460579,40.4627209,-80.0299084,3
104461026,40.4492462,-80.0087092,3
104461135,40.4503669,-80.0534481,3
104461149,40.4504481,-80.0551518,1
104461165,40.4498504,-80.0551453,3
104461466,40.4061892,-79.9311167,3
104461471,40.4064379,-79.9310845,1
104463159,40.4594233,-80.000989,4
104463170,40.4596352,-80.0000366,3
104463246,40.4165371,-79.916111,1
104463258,40.4162398,-79.9157512,4
104463590,40.3709991,-79.9148683,3
104463633,40.3708762,-79.9142823,1
104463802,40.371827,-79.915218,1
104463863,40.3710862,-79.9149941,3
104464121,40.365347,-79.9104387,1
104464817,40.3815,-79.9838797,1
104464828,40.3796088,-79.9848443,1
104464864,40.4639667,-79.8908937,3
104465916,40.4175951,-79.9736669,3
104465927,40.4176605,-79.9744501,3
104465948,40.4668909,-79.8896296,3
104465960,40.465668,-79.889601,1
104467279,40.4667122,-80.0201229,3
104467286,40.4664762,-80.0197611,3
104467366,40.3934961,-80.0276425,3
104467375,40.3941886,-80.0288173,3
104468320,40.4129327,-79.926236,3
104468491,40.4059321,-79.9341794,1
104468521,40.405556,-79.933787,3
104468539,40.4050739,-79.9334592,1
104469712,40.423115,-79.9743872,3
104471388,40.4728246,-79.9227536,3
104471400,40.4725088,-79.9217884,4
104471567,40.4213131,-79.9738048,3
104472494,40.4385642,-79.971852,1
104472649,40.4404098,-79.9948295,5
104472678,40.4465608,-79.9374519,3
104473596,40.388947,-80.0158135,4
104473606,40.3874272,-80.0137611,4
104473618,40.3858039,-80.0115333,1
104474308,40.4075657,-80.0210297,3
104474314,40.4066831,-80.0210386,3
104474443,40.4543402,-79.8747307,1
104474524,40.4688151,-79.9178234,4
104474652,40.4404106,-80.025754,3
104474663,40.4409626,-80.0253013,1
104475037,40.4131674,-79.9214247,1
104475207,40.4146433,-79.9409797,1
104475976,40.4777535,-80.0395828,3
104475986,40.4778504,-80.0390695,3
104476000,40.4780643,-80.0364961,3
104476005,40.4775635,-80.0369959,1
104476033,40.4910348,-80.0055396,3
104476039,40.4904029,-80.0051199,3
104476047,40.4903422,-80.0046919,1
104476216,40.4904792,-80.0048757,1
104477104,40.4816013,-79.9540616,2
104477112,40.481792,-79.9543325,3
104477126,40.4683216,-79.9390708,3
104477838,40.4213116,-79.9925201,3
104477854,40.4208317,-79.9925067,3
104477869,40.4208174,-79.9942233,4
104477874,40.421283,-79.9942233,3
104477884,40.4180035,-79.9931558,4
104477890,40.4183745,-79.9931718,3
104477900,40.4139295,-79.9929625,3
104478992,40.4667124,-79.8991106,3
104479014,40.4703059,-79.8979399,3
104479024,40.4699264,-79.8976985,3
104479132,40.4693068,-79.9023343,3
104479138,40.4689918,-79.9021269,4
104479148,40.4686041,-79.9018801,3
104480222,40.3931411,-79.9935857,3
104480229,40.3932187,-79.9944949,3
104480339,40.4505873,-80.0134167,4
104480581,40.4081421,-79.9258813,3
104480639,40.4708209,-79.9228162,3
104480647,40.4706409,-79.9222727,3
104480655,40.4704537,-79.9217612,3
104480977,40.4061233,-79.9337616,1
104480992,40.4058752,-79.9334042,4
104481001,40.4054867,-79.9332286,1
104481701,40.4471853,-80.0350918,3
104481727,40.4457208,-80.0340299,3
104482399,40.3645962,-79.9099261,3
104482657,40.4372342,-79.9987459,3
104482759,40.4737926,-79.9148061,3
104482777,40.4715529,-79.9217377,3
104482789,40.4823542,-79.9443443,1
104483190,40.4676981,-79.9030656,3
104483196,40.4679555,-79.9026012,1
104483216,40.4604828,-79.9045,4
104483229,40.4605434,-79.9051006,3
104483653,40.470168,-79.9199719,1
104483658,40.4694697,-79.9202283,3
104483667,40.4691044,-79.9203902,3
104483674,40.468746,-79.9205625,3
104483830,40.4483024,-80.0512496,3
104483852,40.4482334,-80.0514095,3
104483872,40.4480275,-80.0514797,3
104485024,40.4017856,-79.9996767,1
104485807,40.4122648,-79.9251288,3
104485848,40.4149744,-79.9301209,4
104486014,40.4190868,-79.9326602,3
104486031,40.4198431,-79.932481,3
104486263,40.4809251,-80.0394469,3
104486269,40.481319,-80.037826,1
104486348,40.4510271,-80.0269689,3
104487786,40.4050901,-79.9455485,4
104487810,40.4037929,-79.9428532,3
104488472,40.4572919,-79.8888426,3
104488525,40.4249809,-79.9970101,3
104488535,40.4254178,-79.9970236,1
104489180,40.4867433,-79.9204824,3
104489222,40.4862216,-79.9210819,4
104489265,40.4831468,-79.9241758,3
104489281,40.4829806,-79.9238786,3
104489291,40.4837504,-79.922897,3
104489326,40.4856888,-79.9204219,3
104489336,40.4869135,-79.918731,3
104489644,40.4705592,-79.9167415,3
104489650,40.4713475,-79.9164287,4
104489658,40.472247,-79.9160646,3
104489768,40.4397575,-80.0371873,3
104489777,40.4396643,-80.0365262,3
104489946,40.4677844,-79.9819439,1
104490724,40.4618225,-79.9451453,3
104490740,40.4599933,-79.9448324,4
104490785,40.4308411,-80.0137037,3
104491210,40.4485705,-80.0104489,4
104491363,40.3895442,-80.0150723,4
104491374,40.3880462,-80.0130051,4
104491391,40.3863795,-80.0114872,3
104491464,40.3870949,-80.0172783,4
104491473,40.3869675,-80.0168808,3
104491492,40.3862703,-80.0164688,4
104491500,40.3859713,-80.0162872,1
104491518,40.3879155,-80.017327,3
104492544,40.4066634,-79.9375398,3
104492552,40.4062704,-79.9378175,1
104492568,40.4064195,-79.9335561,1
104492575,40.4060586,-79.9330867,4
104492583,40.4058893,-79.9329489,3
104492590,40.405607,-79.9328348,1
